Indicator	Country	Region	RegionName	FB	NonFBCompValue	Diff	country_mean_DIFF	quartile
eduattain	NOR	NO05	Western Norway	42.31674193	39.59442364	-2.722318289	-2.256958485	2
eduattain	NOR	NO06	Trøndelag	42.40437478	38.85018447	-3.554190313	-2.256958485	2
eduattain	NOR	NO07	Northern Norway	39.3310218	34.81790745	-4.513114352	-2.256958485	2
overQualRate	NOR	NO01	Oslo and Akershus	15.23033452	5.987640603	9.242693918	10.73793602	4
overQualRate	NOR	NO02	Hedmark and Oppland	15.25334964	4.076857173	11.17649247	10.73793602	4
overQualRate	NOR	NO03	South-Eastern Norway	14.84988549	4.759160102	10.09072538	10.73793602	4
overQualRate	NOR	NO04	Agder and Rogaland	15.22670106	4.346528339	10.88017273	10.73793602	4
overQualRate	NOR	NO05	Western Norway	17.17506923	5.931287275	11.24378195	10.73793602	4
overQualRate	NOR	NO06	Trøndelag	17.65110645	5.245854669	12.40525178	10.73793602	4
overQualRate	NOR	NO07	Northern Norway	15.07209645	4.945659826	10.12643662	10.73793602	4
ShareMig	POL	PL11	Lodzkie	0.357648737	0.878195882		0.878195882	1
ShareMig	POL	PL12	Mazovia	0.725250927	0.878195882		0.878195882	1
ShareMig	POL	PL21	Lesser Poland 	0.341748142	0.878195882		0.878195882	1
ShareMig	POL	PL22	Silesia	0.385955899	0.878195882		0.878195882	1
ShareMig	POL	PL31	Lublin Province 	0.430967465	0.878195882		0.878195882	1
ShareMig	POL	PL32	Podkarpacia	0.386124014	0.878195882		0.878195882	1
ShareMig	POL	PL33	Swietokrzyskie					
ShareMig	POL	PL34	Podlaskie	0.477025035	0.878195882		0.878195882	1
ShareMig	POL	PL41	Greater Poland	0.371243936	0.878195882		0.878195882	1
ShareMig	POL	PL42	West Pomerania	1.537267283	0.878195882		0.878195882	1
ShareMig	POL	PL43	Lubusz	1.801221838	0.878195882		0.878195882	1
ShareMig	POL	PL51	Lower Silesia 	2.13144002	0.878195882		0.878195882	1
ShareMig	POL	PL52	Opole region	2.440365131	0.878195882		0.878195882	1
ShareMig	POL	PL61	Kuyavian-Pomerania	0.306846824	0.878195882		0.878195882	1
ShareMig	POL	PL62	Warmian-Masuria	0.765686367	0.878195882		0.878195882	1
ShareMig	POL	PL63	Pomerania	0.714146784	0.878195882		0.878195882	1
ChangeShareMig	POL	PL11	Lodzkie					
ChangeShareMig	POL	PL12	Mazovia					
ChangeShareMig	POL	PL21	Lesser Poland 					
ChangeShareMig	POL	PL22	Silesia					
ChangeShareMig	POL	PL31	Lublin Province 					
ChangeShareMig	POL	PL32	Podkarpacia					
ChangeShareMig	POL	PL33	Swietokrzyskie					
ChangeShareMig	POL	PL34	Podlaskie					
ChangeShareMig	POL	PL41	Greater Poland					
ChangeShareMig	POL	PL42	West Pomerania					
ChangeShareMig	POL	PL43	Lubusz					
ChangeShareMig	POL	PL51	Lower Silesia 					
ChangeShareMig	POL	PL52	Opole region					
ChangeShareMig	POL	PL61	Kuyavian-Pomerania					
ChangeShareMig	POL	PL62	Warmian-Masuria					
ChangeShareMig	POL	PL63	Pomerania					
lengthStay	POL	PL11	Lodzkie					
lengthStay	POL	PL12	Mazovia	72.960291	27.039709	-45.92058201	-45.92058182	1
lengthStay	POL	PL21	Lesser Poland 					
lengthStay	POL	PL22	Silesia					
lengthStay	POL	PL31	Lublin Province 					
lengthStay	POL	PL32	Podkarpacia					
lengthStay	POL	PL33	Swietokrzyskie					
lengthStay	POL	PL34	Podlaskie					
lengthStay	POL	PL41	Greater Poland					
lengthStay	POL	PL42	West Pomerania					
lengthStay	POL	PL43	Lubusz					
lengthStay	POL	PL51	Lower Silesia 					
lengthStay	POL	PL52	Opole region					
lengthStay	POL	PL61	Kuyavian-Pomerania					
lengthStay	POL	PL62	Warmian-Masuria					
lengthStay	POL	PL63	Pomerania					
PartRate	POL	PL11	Lodzkie	74.00846872	70.49581324	-3.512655484	0.062713899	1
PartRate	POL	PL12	Mazovia	72.43507311	73.49126438	1.056191271	0.062713899	2
PartRate	POL	PL21	Lesser Poland 	71.10506326	67.11811248	-3.986950774	0.062713899	1
PartRate	POL	PL22	Silesia	70.42737663	64.81356549	-5.613811144	0.062713899	1
PartRate	POL	PL31	Lublin Province 	71.59711568	67.82225746	-3.774858223	0.062713899	1
PartRate	POL	PL32	Podkarpacia	55.31792554	65.4383528	10.12042726	0.062713899	4
PartRate	POL	PL33	Swietokrzyskie	61.39387957	67.5400343	6.146154727	0.062713899	3
PartRate	POL	PL34	Podlaskie	67.36642107	68.84187054	1.475449465	0.062713899	2
PartRate	POL	PL41	Greater Poland	55.28439808	69.2660714	13.98167332	0.062713899	4
PartRate	POL	PL42	West Pomerania	66.85306285	64.46685084	-2.386212012	0.062713899	2
PartRate	POL	PL43	Lubusz	71.68988199	65.62529376	-6.06458823	0.062713899	1
PartRate	POL	PL51	Lower Silesia 	71.81707773	67.82803493	-3.989042796	0.062713899	1
PartRate	POL	PL52	Opole region	68.06841031	66.87697958	-1.191430728	0.062713899	2
PartRate	POL	PL61	Kuyavian-Pomerania	79.71900794	66.44558597	-13.27342196	0.062713899	1
PartRate	POL	PL62	Warmian-Masuria	50.4379812	62.35963831	11.9216571	0.062713899	4
PartRate	POL	PL63	Pomerania	67.36426138	67.45910191	0.094840528	0.062713899	2
Unemp	POL	PL11	Lodzkie		8.42535618			
Unemp	POL	PL12	Mazovia		6.83066712			
Unemp	POL	PL21	Lesser Poland 		8.28736545			
Unemp	POL	PL22	Silesia		7.955981829			
Unemp	POL	PL31	Lublin Province 		9.756701719			
Unemp	POL	PL32	Podkarpacia		13.01878461			
Unemp	POL	PL33	Swietokrzyskie		10.91758477			
Unemp	POL	PL34	Podlaskie		8.171073611			
Unemp	POL	PL41	Greater Poland		6.858882426			
Unemp	POL	PL42	West Pomerania		7.981929316			
Unemp	POL	PL43	Lubusz		7.392664107			
Unemp	POL	PL51	Lower Silesia 		8.173645817			
Unemp	POL	PL52	Opole region		7.247227932			
Unemp	POL	PL61	Kuyavian-Pomerania		9.321267467			
Unemp	POL	PL62	Warmian-Masuria		9.710029372			
Unemp	POL	PL63	Pomerania		7.697302005			
eduattain	POL	PL11	Lodzkie		24.75057346		-30.56306458	
eduattain	POL	PL12	Mazovia	66.01350994	35.45044558	-30.56306436	-30.56306458	1
eduattain	POL	PL21	Lesser Poland 		26.12663964		-30.56306458	
eduattain	POL	PL22	Silesia		24.01762879		-30.56306458	
eduattain	POL	PL31	Lublin Province 		25.66521004		-30.56306458	
eduattain	POL	PL32	Podkarpacia		23.00448653		-30.56306458	
eduattain	POL	PL33	Swietokrzyskie		23.94975355		-30.56306458	
eduattain	POL	PL34	Podlaskie		26.47626202		-30.56306458	
eduattain	POL	PL41	Greater Poland		23.44700112		-30.56306458	
eduattain	POL	PL42	West Pomerania		22.83592512		-30.56306458	
eduattain	POL	PL43	Lubusz		21.14484684		-30.56306458	
eduattain	POL	PL51	Lower Silesia 		25.41271249		-30.56306458	
eduattain	POL	PL52	Opole region		22.64887272		-30.56306458	
eduattain	POL	PL61	Kuyavian-Pomerania		19.18158034		-30.56306458	
eduattain	POL	PL62	Warmian-Masuria		20.91448054		-30.56306458	
eduattain	POL	PL63	Pomerania		25.19379614		-30.56306458	
overQualRate	POL	PL11	Lodzkie		6.087627221			
overQualRate	POL	PL12	Mazovia		7.128356654			
overQualRate	POL	PL21	Lesser Poland 		5.645541833			
overQualRate	POL	PL22	Silesia		5.183599718			
overQualRate	POL	PL31	Lublin Province 		7.636638116			
overQualRate	POL	PL32	Podkarpacia		6.982206333			
overQualRate	POL	PL33	Swietokrzyskie		8.696675047			
overQualRate	POL	PL34	Podlaskie		8.062217669			
overQualRate	POL	PL41	Greater Poland		6.306328293			
overQualRate	POL	PL42	West Pomerania		5.830971155			
overQualRate	POL	PL43	Lubusz		5.851662989			
overQualRate	POL	PL51	Lower Silesia 		5.515341994			
overQualRate	POL	PL52	Opole region		6.205526755			
overQualRate	POL	PL61	Kuyavian-Pomerania		5.802478743			
overQualRate	POL	PL62	Warmian-Masuria		6.105589151			
overQualRate	POL	PL63	Pomerania		5.477919244			
ShareMig	PRT	PT11	North (PT)	4.602032792	4.237889767		4.237889767	2
ShareMig	PRT	PT15	Algarve	11.99233726	4.237889767		4.237889767	3
ShareMig	PRT	PT16	Central Portugal	5.919005143	4.237889767		4.237889767	2
ShareMig	PRT	PT17	Metropolitan area of Lisbon	10.76621344	4.237889767		4.237889767	3
ShareMig	PRT	PT18	Alentejo	4.001667014	4.237889767		4.237889767	2
ShareMig	PRT	PT20	Autonomous Region of the Azores	3.110343396	4.237889767		4.237889767	1
ShareMig	PRT	PT30	Autonomous Region of Madeira	6.150114404	4.237889767		4.237889767	2
ChangeShareMig	PRT	PT11	North (PT)	1.528750896	1.528750896		4.237889767	2
ChangeShareMig	PRT	PT15	Algarve	4.13465023	4.13465023		4.237889767	4
ChangeShareMig	PRT	PT16	Central Portugal	1.33855629	1.33855629		4.237889767	2
ChangeShareMig	PRT	PT17	Metropolitan area of Lisbon	0.864447594	0.864447594		4.237889767	2
ChangeShareMig	PRT	PT18	Alentejo	1.144933224	1.144933224		4.237889767	2
ChangeShareMig	PRT	PT20	Autonomous Region of the Azores	1.682594299	1.682594299		4.237889767	2
ChangeShareMig	PRT	PT30	Autonomous Region of Madeira	2.094807625	2.094807625		4.237889767	3
lengthStay	PRT	PT11	North (PT)	13.44145275	86.55854725	73.11709449	61.04355621	4
lengthStay	PRT	PT15	Algarve	28.05117757	71.94882243	43.89764486	61.04355621	3
lengthStay	PRT	PT16	Central Portugal	10.44553116	89.55446884	79.10893768	61.04355621	4
lengthStay	PRT	PT17	Metropolitan area of Lisbon	24.31224167	75.68775833	51.37551666	61.04355621	4
lengthStay	PRT	PT18	Alentejo	21.14070691	78.85929309	57.71858619	61.04355621	4
lengthStay	PRT	PT20	Autonomous Region of the Azores		86.07535856		61.04355621	
lengthStay	PRT	PT30	Autonomous Region of Madeira		84.95811249		61.04355621	
PartRate	PRT	PT11	North (PT)	80.62833621	70.95999175	-9.668344457	-6.492980957	1
PartRate	PRT	PT15	Algarve	80.88162914	74.95092987	-5.93069927	-6.492980957	1
PartRate	PRT	PT16	Central Portugal	82.06752567	73.34181431	-8.725711355	-6.492980957	1
PartRate	PRT	PT17	Metropolitan area of Lisbon	79.01309967	74.85732956	-4.155770105	-6.492980957	1
PartRate	PRT	PT18	Alentejo	80.97449581	73.32423138	-7.650264425	-6.492980957	1
PartRate	PRT	PT20	Autonomous Region of the Azores	75.61893884	68.29417371	-7.324765122	-6.492980957	1
PartRate	PRT	PT30	Autonomous Region of Madeira	71.30295086	69.30763731	-1.995313553	-6.492980957	2
Unemp	PRT	PT11	North (PT)	13.51547051	14.92234131	-1.406870805	2.189262629	1
Unemp	PRT	PT15	Algarve	18.19990428	13.08809551	5.111808775	2.189262629	3
Unemp	PRT	PT16	Central Portugal	9.631982968	10.85388516	-1.221902196	2.189262629	1
Unemp	PRT	PT17	Metropolitan area of Lisbon	19.52869506	13.25467995	6.274015112	2.189262629	3
Unemp	PRT	PT18	Alentejo		14.04601403		2.189262629	
Unemp	PRT	PT20	Autonomous Region of the Azores		14.93770774		2.189262629	
Unemp	PRT	PT30	Autonomous Region of Madeira		15.19398278		2.189262629	
eduattain	PRT	PT11	North (PT)	31.65800703	16.12970882	-15.52829822	-8.170978546	1
eduattain	PRT	PT15	Algarve	22.39894318	17.46929855	-4.929644629	-8.170978546	2
eduattain	PRT	PT16	Central Portugal	32.25466278	18.64883284	-13.60582994	-8.170978546	1
eduattain	PRT	PT17	Metropolitan area of Lisbon	28.18797298	30.69794475	2.509971765	-8.170978546	3
eduattain	PRT	PT18	Alentejo	25.48564894	16.18455846	-9.301090474	-8.170978546	1
eduattain	PRT	PT20	Autonomous Region of the Azores		12.2329674		-8.170978546	
eduattain	PRT	PT30	Autonomous Region of Madeira		14.71761002		-8.170978546	
overQualRate	PRT	PT11	North (PT)	4.783552654	2.465606872	2.317945782	3.595907688	3
overQualRate	PRT	PT15	Algarve		3.110806427		3.595907688	
overQualRate	PRT	PT16	Central Portugal	9.436362326	3.416250487	6.020111838	3.595907688	3
overQualRate	PRT	PT17	Metropolitan area of Lisbon	6.092569914	3.642904548	2.449665366	3.595907688	3
overQualRate	PRT	PT18	Alentejo		2.434845109		3.595907688	
overQualRate	PRT	PT20	Autonomous Region of the Azores					
overQualRate	PRT	PT30	Autonomous Region of Madeira					
ShareMig	SVK	SK01	Bratislava Region	1.883307638	0.365573406		0.365573406	1
ShareMig	SVK	SK02	West Slovakia	0.687849498	0.365573406		0.365573406	1
ShareMig	SVK	SK03	Central Slovakia	0.577232528	0.365573406		0.365573406	1
ShareMig	SVK	SK04	East Slovakia	0.637655426	0.365573406		0.365573406	1
ChangeShareMig	SVK	SK01	Bratislava Region	0.036906838	0.036906838		0.365573406	1
ChangeShareMig	SVK	SK02	West Slovakia	-0.251033664	-0.251033664		0.365573406	1
ChangeShareMig	SVK	SK03	Central Slovakia	-0.682232797	-0.682232797		0.365573406	1
ChangeShareMig	SVK	SK04	East Slovakia	0.034901798	0.034901798		0.365573406	1
lengthStay	SVK	SK01	Bratislava Region	42.55012927	57.44987073	14.89974146	14.89974117	2
lengthStay	SVK	SK02	West Slovakia		84.6733756		14.89974117	
lengthStay	SVK	SK03	Central Slovakia		83.4603665		14.89974117	
lengthStay	SVK	SK04	East Slovakia		85.9544761		14.89974117	
PartRate	SVK	SK01	Bratislava Region	70.33852422	75.71486442	5.3763402	1.854200959	3
PartRate	SVK	SK02	West Slovakia	70.56576758	71.33255589	0.766788316	1.854200959	2
PartRate	SVK	SK03	Central Slovakia	70.00170309	70.6112136	0.609510512	1.854200959	2
PartRate	SVK	SK04	East Slovakia	67.11228754	67.77645256	0.664165028	1.854200959	2
Unemp	SVK	SK01	Bratislava Region		5.924625906			
Unemp	SVK	SK02	West Slovakia		10.36357884			
Unemp	SVK	SK03	Central Slovakia		14.3747301			
Unemp	SVK	SK04	East Slovakia		15.88523152			
eduattain	SVK	SK01	Bratislava Region	56.77358985	36.23520385	-20.538386	-20.53838539	1
eduattain	SVK	SK02	West Slovakia		16.2579394		-20.53838539	
eduattain	SVK	SK03	Central Slovakia		17.20455244		-20.53838539	
eduattain	SVK	SK04	East Slovakia		18.05258107		-20.53838539	
overQualRate	SVK	SK01	Bratislava Region		5.342855513			
overQualRate	SVK	SK02	West Slovakia		4.401624012			
overQualRate	SVK	SK03	Central Slovakia		4.357433247			
overQualRate	SVK	SK04	East Slovakia		4.530767792			
ShareMig	SVN	SI01	Eastern Slovenia	6.903328471	8.935780525		8.935780525	2
ShareMig	SVN	SI02	Western Slovenia	10.96823171	8.935780525		8.935780525	3
ChangeShareMig	SVN	SI01	Eastern Slovenia					
ChangeShareMig	SVN	SI02	Western Slovenia					
lengthStay	SVN	SI01	Eastern Slovenia	24.38344853	75.61655147	51.23310294	47.34637833	4
lengthStay	SVN	SI02	Western Slovenia	28.27017134	71.72982866	43.45965732	47.34637833	3
PartRate	SVN	SI01	Eastern Slovenia	67.43906743	71.04201106	3.602943633	3.627471685	3
PartRate	SVN	SI02	Western Slovenia	68.79216612	72.44416598	3.651999858	3.627471685	3
Unemp	SVN	SI01	Eastern Slovenia	15.02492975	10.56747133	4.457458414	3.850593328	3
Unemp	SVN	SI02	Western Slovenia	10.77070661	7.526978401	3.243728211	3.850593328	2
eduattain	SVN	SI01	Eastern Slovenia	12.68683782	24.88773983	12.20090202	17.92943764	4
